school_number,school_name,address,fulladdr,geometry
858,youth opportunity,1510 west lafayette avenue,1510 w lafayette ave,"list(list(c(-76.6428579148287, -76.6425471589724, -76.6425312552966, -76.6423123503706, -76.6423017485683, -76.6422766471445, -76.6428336369168, -76.6428579148287, 39.2994180913912, 39.2994271662153, 39.299427667459, 39.2994340297484, 39.2994343545206, 39.2990097126117, 39.2989905690184, 39.2994180913912)))"
430,augusta fells savage institute of visual arts,1500 harlem avenue,1500 harlem ave,"list(list(c(-76.6413920763803, -76.6413927144697, -76.6414492295068, -76.6424636554885, -76.6426975487297, -76.6427503495852, -76.6427508381732, -76.6427562573988, -76.641339639213, -76.6414083931178, -76.6402310775115, -76.6401594922242, -76.6401590744935, -76.6400496880005, -76.6413920763803, 39.2954393049392, 39.2954530068716, 39.2966801768068, 39.2966519421809, 39.2965372862952, 39.297524486234, 39.2975327251355, 39.2976284769724, 39.2976758585126, 39.2988585337756, 39.298899439156, 39.2975334101167, 
39.2975251714205, 39.2954829431347, 39.2954393049392)))"
364,bluford drew jemison stem academy west,1500 harlem avenue,1500 harlem ave,"list(list(c(-76.6413920763803, -76.6413927144697, -76.6414492295068, -76.6424636554885, -76.6426975487297, -76.6427503495852, -76.6427508381732, -76.6427562573988, -76.641339639213, -76.6414083931178, -76.6402310775115, -76.6401594922242, -76.6401590744935, -76.6400496880005, -76.6413920763803, 39.2954393049392, 39.2954530068716, 39.2966801768068, 39.2966519421809, 39.2965372862952, 39.297524486234, 39.2975327251355, 39.2976284769724, 39.2976758585126, 39.2988585337756, 39.298899439156, 39.2975334101167, 
39.2975251714205, 39.2954829431347, 39.2954393049392)))"
178,excel academy at francis m. wood high school,1001 w saratoga street,1001 w saratoga st,"list(list(c(-76.6360967772491, -76.6361595610926, -76.6343192103637, -76.6340948003216, -76.6340242065802, -76.634318817659, -76.6360967772491, 39.2910139962639, 39.2922817685717, 39.2923604797699, 39.2923695549028, 39.2910753452779, 39.2910663229555, 39.2910139962639)))"
429,vivien t. thomas medical arts academy,100 n calhoun street,100 n calhoun st,"list(list(c(-76.6397942077184, -76.6397720395502, -76.639749003676, -76.6409286185136, -76.6409470276681, -76.6409614880625, -76.6397942077184, 39.2907122929518, 39.2902771422526, 39.2898248293802, 39.2897813834455, 39.2902768680143, 39.2906658427949, 39.2907122929518)))"
433,renaissance academy,1301 mcculloh street,1300 madison ave,"list(list(c(-76.6271917485779, -76.627202391264, -76.627800547177, -76.6278111897261, -76.6286067423282, -76.6283155049566, -76.6279992564674, -76.6271917485779, 39.303141236284, 39.3031332533388, 39.3026841445214, 39.3026761615201, 39.303338781933, 39.3035572824762, 39.3037949204403, 39.303141236284)))"
345,joseph c. briscoe academy,900 druid hill avenue,507 w preston st,"list(list(c(-76.625937767281, -76.626297094895, -76.6271146997212, -76.6271318351774, -76.6255880205431, -76.6249925037062, -76.6243574115074, -76.6255457954583, -76.6259303073994, -76.625937767281, 39.2972338227777, 39.2975276941652, 39.2981962423959, 39.2982102174558, 39.2994829877437, 39.2990008161061, 39.2984869132189, 39.297527882943, 39.2972277868325, 39.2972338227777)))"
415,baltimore school for the arts,712 cathedral street,712 cathedral st,"list(list(c(-76.6171668474918, -76.617697006113, -76.6177067687314, -76.6177376398661, -76.6172079646536, -76.6171766082112, -76.6171668474918, 39.2977857255019, 39.2977623585791, 39.297917374813, 39.2984180097856, 39.2984363826075, 39.2979408795354, 39.2977857255019)))"
348,baltimore leadership school for young women,128 w franklin street,126 w franklin st,"list(list(c(-76.6178950133612, -76.6181251971269, -76.6181606211713, -76.617917225551, -76.6179148183739, -76.6178950133612, 39.2951144855627, 39.2951042512078, 39.2954944227324, 39.295503734222, 39.2954585906184, 39.2951144855627)))"
382,baltimore design school,1500 barclay street,1500 barclay st,"list(list(c(-76.6108324722032, -76.6107811438244, -76.610982015042, -76.6109996888221, -76.6110102924871, -76.6113635227051, -76.6113816485068, -76.6114176702676, -76.6114181916281, -76.6114075858808, -76.6110102731272, -76.6109996691766, -76.6108324722032, 39.3078031657609, 39.306923607978, 39.3069173008903, 39.3069167282412, 39.3069162966517, 39.306902063199, 39.3071927896393, 39.307771359988, 39.3077795710001, 39.3077800293281, 39.3077960118864, 39.3077964715893, 39.3078031657609)))"
421,national academy foundation,540 n caroline street,540 n caroline st,"list(list(c(-76.5976323690989, -76.5985648645099, -76.5985426925124, -76.5988864879065, -76.5989395237233, -76.597661915949, -76.5976323690989, 39.2965747447329, 39.2965292297284, 39.2961701226748, 39.2961533404504, 39.2969907948957, 39.297053170976, 39.2965747447329)))"
414,paul laurence dunbar high school,1400 orleans street,1400 orleans st,"list(list(c(-76.5983726055476, -76.59836462182, -76.5983485750967, -76.5976725664986, -76.597661915949, -76.5989395237233, -76.5988864879065, -76.5985426925124, -76.5976102018161, -76.59755101587, -76.599673414277, -76.5997484426898, -76.5991533130955, -76.5992180028808, -76.599252875914, -76.59900595811, -76.5989717021382, -76.5986867761404, -76.5986920968729, -76.5983726055476, 39.2976529176838, 39.297527968183, 39.2971920818987, 39.2972250760224, 39.297053170976, 39.2969907948957, 39.2961533404504, 
39.2961701226748, 39.2962156361027, 39.2952568641626, 39.2951532515061, 39.2964094997023, 39.2964385494717, 39.2975280554873, 39.2980788973454, 39.2980902718544, 39.2975493436517, 39.2975586942603, 39.2976424769994, 39.2976529176838)))"
416,digital harbor high school,1100 covington street,1100 covington st,"list(list(c(-76.6078658157909, -76.607874330597, -76.607876020062, -76.6078862018315, -76.6078866290505, -76.607877793959, -76.6078819385417, -76.607910983958, -76.6079633140962, -76.6079850452004, -76.6080012215176, -76.6080211960079, -76.608438731457, -76.6084438289982, -76.6084502087126, -76.608455754147, -76.6084600015436, -76.6084668149111, -76.6084723366025, -76.6084778906865, -76.608877278571, -76.6088998620999, -76.6087403491403, -76.6086886366838, -76.6086418059876, -76.6085848268142, -76.6085348851274, 
-76.6084840924774, -76.6085036522497, -76.6071079184742, -76.6069986667832, -76.6069520066245, -76.6070469242823, -76.6076473410149, -76.6077528415314, -76.6077787004006, -76.6077918932701, -76.6078284791894, -76.6078639598367, -76.6078658157909, 39.2757066127113, 39.2757704492947, 39.2757841536148, 39.2758595521329, 39.2758650456824, 39.2758660311114, 39.2758943124436, 39.2760924842919, 39.2764477112663, 39.2765936265589, 39.2767026514432, 39.276840487844, 39.2767967726094, 39.2768333325236, 39.2768741813252, 
39.2769128274037, 39.2769428507271, 39.2769886954708, 39.2770250923271, 39.2770621752786, 39.2770231746031, 39.2771749402997, 39.2771915685846, 39.2771970796089, 39.2772018927742, 39.2772080454834, 39.2772132052899, 39.2772185267071, 39.2773550177573, 39.277501690701, 39.275784159165, 39.2752800321286, 39.274482442513, 39.2744216326421, 39.2751457900238, 39.275173019311, 39.2751869110549, 39.2754441298527, 39.2756935811717, 39.2757066127113)))"
377,green street academy,125 n hilton street,125 n hilton st,"list(list(c(-76.6702784283982, -76.6705333265688, -76.6713993117149, -76.6716255418162, -76.6716679800119, -76.6718758753249, -76.6719740487853, -76.6720442043635, -76.6722534215283, -76.6722658294297, -76.6722924968558, -76.6723253263714, -76.672314688714, -76.6716275505935, -76.6711643779618, -76.6701804142161, -76.6704489825926, -76.6703858544661, -76.6705555363801, -76.670415666528, -76.6704723225183, -76.6704026721795, -76.6702784283982, 39.2880451722025, 39.2878496650369, 39.2871852593283, 
39.2870147628061, 39.2869827596603, 39.2871479064374, 39.2872259062646, 39.2872816162465, 39.2872757479625, 39.2874576737708, 39.2878487379341, 39.2888572566362, 39.2888653266322, 39.2893897780802, 39.289743999107, 39.2889738414658, 39.2887720865962, 39.2887171629197, 39.2885753394306, 39.2883615105352, 39.2882959963606, 39.2881315921633, 39.2880451722025)))"
454,carver vocational-technical high school,2201 presstman street,2201 presstman st,"list(list(c(-76.650685429044, -76.6507627905842, -76.6509986991166, -76.6510937104006, -76.6513171116094, -76.6515722448192, -76.6517016643758, -76.6518400039046, -76.652105481346, -76.6523827968287, -76.6527224883845, -76.6529801602705, -76.6534373546813, -76.653651225104, -76.6536942903208, -76.6537033384863, -76.6529819788275, -76.6497338891257, -76.6497334650802, -76.649716655568, -76.6496779490732, -76.6497937070408, -76.6498450179993, -76.6499076485207, -76.649980819853, -76.6500267810853, 
-76.6500926089917, -76.6501637124853, -76.6502393077937, -76.6502602981379, -76.6504568204724, -76.650685429044, 39.3033578711669, 39.3033565914094, 39.3033654468151, 39.3033755843422, 39.3034127085363, 39.3034789175487, 39.3035199358031, 39.3035576572718, 39.3036192007353, 39.3036879181656, 39.3037704644327, 39.3038382705334, 39.3039640734693, 39.3040357579449, 39.3047691550114, 39.3049282013347, 39.3049546257072, 39.3050735885833, 39.3050663943587, 39.3047705149315, 39.3040718064745, 39.3038305455836, 
39.303744710472, 39.3036635197574, 39.3035878524758, 39.3035476851681, 39.30350595764, 39.3034697912664, 39.3034396236886, 39.3034325480271, 39.3033737476391, 39.3033578711669)))"
400,edmondson-westside high school,501 n athol avenue,501 n athol ave,"list(list(c(-76.688811996939, -76.6888255312226, -76.6888371276246, -76.6888477981537, -76.6888559458683, -76.6888658827838, -76.6888831033953, -76.6889191025203, -76.6889571870166, -76.689021212493, -76.6890415764839, -76.6890617388054, -76.6890859819192, -76.6891053522692, -76.6891199610429, -76.6891382853897, -76.6891537861076, -76.689167837753, -76.689185413609, -76.6891954908551, -76.6892171644205, -76.6892279656799, -76.6892443771505, -76.6892849692251, -76.6864568251852, -76.6864070463508, 
-76.6863129736702, -76.6863083763424, -76.6863241771067, -76.6863628483355, -76.6863670314568, -76.6864253817877, -76.6864364012485, -76.6865315660164, -76.6865456973283, -76.6866687295468, -76.6868149958112, -76.6869828998817, -76.6871706287783, -76.6887138442182, -76.688811996939, 39.2885020105093, 39.2887511187507, 39.2889587114182, 39.2891439790509, 39.2893080729111, 39.2894915266281, 39.2898022537044, 39.2900689673131, 39.2902549667375, 39.290535453052, 39.2906216329548, 39.2907129754636, 39.2908242054012, 
39.2909274605355, 39.2910122236979, 39.2911362340609, 39.2912593836837, 39.2914151740913, 39.2916695922607, 39.2918291323836, 39.2922206173043, 39.2923924873189, 39.292670816123, 39.2933578224142, 39.2934650995497, 39.2926726667725, 39.2911744360287, 39.2910395915696, 39.2908380855147, 39.2906583586149, 39.2906389584327, 39.2904753174855, 39.2904444045667, 39.2902565361259, 39.2902328793031, 39.2900550515287, 39.2898882106851, 39.2897341418942, 39.289594566441, 39.2886480040768, 39.2885020105093)))"
362,bard high school early college baltimore,2801 n dukeland street,2700 gwynns falls pkwy,"list(list(c(-76.6639838858243, -76.6639547614909, -76.6637439146027, -76.6637350139421, -76.6631236625416, -76.6627535653354, -76.6623096144653, -76.6614926730128, -76.6616372220501, -76.6613882979762, -76.6609781627446, -76.6611615514315, -76.6611150093787, -76.6609707320013, -76.6609113424205, -76.661209226379, -76.6615683422106, -76.6622038276062, -76.6622699258552, -76.662318485052, -76.6624010645756, -76.6627007558448, -76.6629010765665, -76.6629689724951, -76.6632505226225, -76.6642248324858, 
-76.6642678669574, -76.664302379013, -76.6643380292931, -76.6643662701572, -76.6643846877602, -76.6644035974381, -76.6645540104963, -76.6645850827427, -76.6646325338324, -76.6646706730186, -76.6647102488027, -76.6647508470759, -76.6647824828565, -76.664814360909, -76.6648479770319, -76.6648778005134, -76.6648986175381, -76.6649156650986, -76.664927379777, -76.6649365125409, -76.664943115007, -76.6649475957099, -76.6649499987537, -76.6649512029337, -76.6649513264514, -76.6649519390656, -76.6649440603614, 
-76.6649155461218, -76.6649132403068, -76.6649122839955, -76.6649093299684, -76.6649087879147, -76.6641910062266, -76.6639838858243, 39.3195148441237, 39.3194847802581, 39.3192703025874, 39.3192612455511, 39.3186450808353, 39.318272032459, 39.3178885302067, 39.3171863530439, 39.317107370151, 39.3168462429538, 39.3164160500081, 39.316322985031, 39.3160775952983, 39.3154199077969, 39.315149276758, 39.3150738123423, 39.315002337171, 39.3148981354505, 39.3148892558885, 39.3148827324411, 39.3148720699487, 
39.3148398756077, 39.314824355199, 39.3148190930337, 39.3148039216317, 39.314768984876, 39.3147719641966, 39.3147835669849, 39.3148009096503, 39.3148230358048, 39.3148441752158, 39.314881787948, 39.3152052795182, 39.3152719727782, 39.3153719630442, 39.3154535304074, 39.3155374634195, 39.3156225534069, 39.3156895504369, 39.315757371884, 39.3158311570115, 39.3158926314965, 39.3159376350867, 39.315979964136, 39.3160142331953, 39.3160484133615, 39.31608000546, 39.3161114003344, 39.3161340290053, 39.3161560793295, 
39.316182408314, 39.3162247186118, 39.3168446826571, 39.319079905231, 39.3192607113918, 39.3193359356665, 39.3194597490064, 39.3195219872722, 39.3195164538332, 39.3195148441237)))"
325,connexions: a community based arts school,2801 n dukeland street,2700 gwynns falls pkwy,"list(list(c(-76.6639838858243, -76.6639547614909, -76.6637439146027, -76.6637350139421, -76.6631236625416, -76.6627535653354, -76.6623096144653, -76.6614926730128, -76.6616372220501, -76.6613882979762, -76.6609781627446, -76.6611615514315, -76.6611150093787, -76.6609707320013, -76.6609113424205, -76.661209226379, -76.6615683422106, -76.6622038276062, -76.6622699258552, -76.662318485052, -76.6624010645756, -76.6627007558448, -76.6629010765665, -76.6629689724951, -76.6632505226225, -76.6642248324858, 
-76.6642678669574, -76.664302379013, -76.6643380292931, -76.6643662701572, -76.6643846877602, -76.6644035974381, -76.6645540104963, -76.6645850827427, -76.6646325338324, -76.6646706730186, -76.6647102488027, -76.6647508470759, -76.6647824828565, -76.664814360909, -76.6648479770319, -76.6648778005134, -76.6648986175381, -76.6649156650986, -76.664927379777, -76.6649365125409, -76.664943115007, -76.6649475957099, -76.6649499987537, -76.6649512029337, -76.6649513264514, -76.6649519390656, -76.6649440603614, 
-76.6649155461218, -76.6649132403068, -76.6649122839955, -76.6649093299684, -76.6649087879147, -76.6641910062266, -76.6639838858243, 39.3195148441237, 39.3194847802581, 39.3192703025874, 39.3192612455511, 39.3186450808353, 39.318272032459, 39.3178885302067, 39.3171863530439, 39.317107370151, 39.3168462429538, 39.3164160500081, 39.316322985031, 39.3160775952983, 39.3154199077969, 39.315149276758, 39.3150738123423, 39.315002337171, 39.3148981354505, 39.3148892558885, 39.3148827324411, 39.3148720699487, 
39.3148398756077, 39.314824355199, 39.3148190930337, 39.3148039216317, 39.314768984876, 39.3147719641966, 39.3147835669849, 39.3148009096503, 39.3148230358048, 39.3148441752158, 39.314881787948, 39.3152052795182, 39.3152719727782, 39.3153719630442, 39.3154535304074, 39.3155374634195, 39.3156225534069, 39.3156895504369, 39.315757371884, 39.3158311570115, 39.3158926314965, 39.3159376350867, 39.315979964136, 39.3160142331953, 39.3160484133615, 39.31608000546, 39.3161114003344, 39.3161340290053, 39.3161560793295, 
39.316182408314, 39.3162247186118, 39.3168446826571, 39.319079905231, 39.3192607113918, 39.3193359356665, 39.3194597490064, 39.3195219872722, 39.3195164538332, 39.3195148441237)))"
432,coppin academy,2500 w north avenue,2500 w north ave,"list(list(c(-76.6564742062979, -76.6564668477377, -76.6564640383359, -76.6564628789916, -76.656453126912, -76.6564475132306, -76.656443758838, -76.6564374215653, -76.6564338539678, -76.6564301951811, -76.6564280562997, -76.6564218687483, -76.6564137204425, -76.6564116519061, -76.6564052210257, -76.6563967813888, -76.6563890959475, -76.656378713183, -76.6563752887711, -76.6563701152214, -76.6563669514929, -76.6563663596555, -76.6563664370171, -76.6563681156069, -76.6563702361123, -76.6563736434492, 
-76.656378203997, -76.6563846958207, -76.656389547039, -76.6563990991374, -76.6564116008212, -76.6564291977327, -76.6564469984354, -76.6564570145604, -76.6564881407017, -76.6565127981209, -76.6565324971272, -76.6565606605508, -76.6565975978521, -76.65664056196, -76.6566755343978, -76.6567079223487, -76.6567575673482, -76.6568110122625, -76.6568886150966, -76.6569915347409, -76.6570308099767, -76.657063965627, -76.6571012438612, -76.6571519926207, -76.6571953121539, -76.6572285172123, -76.6572565628202, 
-76.6572871887722, -76.6573153542823, -76.6573297121306, -76.657338851907, -76.6573681513025, -76.6573848797219, -76.6573955622884, -76.6574028071736, -76.6574057614588, -76.6574059568304, -76.6574057150477, -76.6573065319414, -76.6573060309471, -76.6576496747334, -76.6580948592096, -76.6597689128039, -76.6597635616499, -76.6597631842829, -76.6596894728423, -76.659631772487, -76.6595430284888, -76.6594490007326, -76.65943356301, -76.6594017016853, -76.6593703773629, -76.659485929715, -76.6595219304471, 
-76.6595016063433, -76.6594818629905, -76.6594637582266, -76.6594487577201, -76.659454913085, -76.6594843947601, -76.6594593286224, -76.6594946015392, -76.6594678374123, -76.6594661320044, -76.6594313946176, -76.6593206166123, -76.6593222152342, -76.6593624822679, -76.6589781965562, -76.658946018063, -76.6586611952237, -76.6584976377073, -76.6584511983724, -76.6582154035382, -76.657999759456, -76.6578217552462, -76.6577870533855, -76.657660751347, -76.6576536762058, -76.6576241916502, -76.6574786569628, 
-76.6572043870228, -76.6570851384969, -76.6567631002011, -76.6566753089314, -76.6566259363713, -76.656507561991, -76.6564947092472, -76.656480343784, -76.6564757277105, -76.6564742062979, 39.3152189198134, 39.3150815971365, 39.3150268708758, 39.3150035849752, 39.314849341979, 39.3147537819389, 39.3146898020356, 39.3145605805249, 39.3144871830115, 39.3144322349683, 39.3143997290614, 39.3143057248383, 39.3141491797496, 39.3141092547896, 39.3139922793912, 39.3138447102002, 39.3137095540853, 39.313517860063, 
39.3134660979912, 39.3133887963577, 39.313326932317, 39.3132959603176, 39.313257963206, 39.313217773675, 39.3131737703798, 39.3131345727006, 39.31309788053, 39.3130566072232, 39.3130256525423, 39.3129798295131, 39.3129306400327, 39.3128729539636, 39.3128172716021, 39.3127925648677, 39.3127215740745, 39.3126658035051, 39.3126265170814, 39.3125765215035, 39.3125172992721, 39.312454113709, 39.3124063899198, 39.3123669760684, 39.312310838453, 39.3122505946317, 39.3121655180248, 39.3120700006632, 39.3120387064394, 
39.3120159606514, 39.3119807625826, 39.311930503823, 39.3118812101673, 39.3118407288171, 39.3118003420532, 39.3117524676394, 39.311701483672, 39.3116709235498, 39.31165147429, 39.3115781444618, 39.3115172155685, 39.3114567090282, 39.3114058552152, 39.3113572970446, 39.3113168557508, 39.311308097562, 39.3095998581815, 39.3095721012452, 39.3095600074456, 39.3095443818219, 39.3094856090599, 39.3095988744114, 39.3096043625626, 39.3106177613791, 39.311513753339, 39.311779067264, 39.3118946339441, 39.311913608262, 
39.3119647672181, 39.3120150639218, 39.3126008216182, 39.312970963864, 39.3135308212871, 39.3138147860619, 39.3140747870633, 39.3144310547599, 39.314783182104, 39.3151058363438, 39.3151076023587, 39.3152180192034, 39.3152270561717, 39.3152215605899, 39.3151100460358, 39.315119664612, 39.3151251612923, 39.3152627450363, 39.3153929195223, 39.315403808827, 39.3155034383972, 39.3155516409961, 39.3155653436876, 39.3156271735768, 39.315673412048, 39.3157046583564, 39.3157107620434, 39.315728981678, 39.3157300040925, 
39.315732321934, 39.3157437703412, 39.3157653745871, 39.3157720270442, 39.3157755626484, 39.3157746202282, 39.315773981176, 39.3157678972043, 39.315553629086, 39.3153307607115, 39.3152477803474, 39.3152189198134)))"
301,william s. baer school,2001 n warwick avenue,2001 n warwick ave,"list(list(c(-76.6557994572348, -76.6558065263031, -76.6570983717343, -76.6571054406712, -76.6571306631853, -76.6571673230527, -76.6571727026944, -76.6571725628893, -76.6571701472088, -76.6571663522656, -76.6571640390159, -76.657154988645, -76.6571422537765, -76.6571177843418, -76.6570984297787, -76.6570754316931, -76.6570494353961, -76.6570272280986, -76.6570005648169, -76.6569637119115, -76.6569193215912, -76.6568734846069, -76.6568091720888, -76.6567527746033, -76.6566900357921, -76.6565873843101, 
-76.6565383237067, -76.6564832801264, -76.6564321624987, -76.6564246726415, -76.6563579747181, -76.656274662498, -76.656228167445, -76.6561739977555, -76.6561067892831, -76.6560759048158, -76.6559251708743, -76.6559138512082, -76.6558794933808, -76.6558657212197, -76.655828560089, -76.6557994572348, 39.3102013591638, 39.3102011071645, 39.3101557379816, 39.3101555112064, 39.3105907517557, 39.3112234232447, 39.3113162584304, 39.3113526641342, 39.3113915878273, 39.3114182442075, 39.3114344816772, 39.311485962771, 
39.3115322671823, 39.3115935037932, 39.3116346566887, 39.311676376689, 39.3117169338583, 39.3117489090638, 39.3117814475937, 39.3118233717212, 39.3118673092784, 39.3119106634479, 39.311967143444, 39.3120160951281, 39.3120831223696, 39.3121814685106, 39.3122264057787, 39.3122221543151, 39.3122173098548, 39.3122166019777, 39.3122110526609, 39.3122057021134, 39.3122025185601, 39.3122001643852, 39.3121976609795, 39.3121967749715, 39.3121963337273, 39.31201641515, 39.3114712884256, 39.3112527622159, 39.3106631270197, 
39.3102013591638)))"
