school_number,school_name,address,fulladdr,geometry
450,frederick douglass high school,2301 gwynns falls parkway,2301 gwynns falls pkwy,"list(list(c(-76.6547482524372, -76.6548133823099, -76.6561326041323, -76.6561418020107, -76.6561514241874, -76.656158895326, -76.6561637448362, -76.6561720945222, -76.6561834294154, -76.6561944362767, -76.6561962217562, -76.6562015803957, -76.6562130812026, -76.6562200275353, -76.6562208747184, -76.6562257657753, -76.6562324172104, -76.6562411352649, -76.6562431432311, -76.6562749771832, -76.6561494545693, -76.6560608274926, -76.6559752064199, -76.6558429385507, -76.6557188762708, -76.6556139635148, 
-76.6555245629015, -76.6554516502646, -76.6553296094146, -76.6552874624904, -76.6551716888216, -76.655010149228, -76.6547983881927, -76.6546991819613, -76.654594168244, -76.6544801448971, -76.6543692499607, -76.65422584238, -76.6541124055253, -76.6539471551389, -76.653937965778, -76.6537279096206, -76.6535496629641, -76.6534056754733, -76.6532951170365, -76.6531765905177, -76.6530754237059, -76.6529880744217, -76.6527648330666, -76.6523711743173, -76.6519921719349, -76.651933186066, -76.651878341237, 
-76.651831750897, -76.6517939394017, -76.6517653721637, -76.6517091323709, -76.6516146788447, -76.6529836951728, -76.6533738704344, -76.6535261372839, -76.6535614222606, -76.6536035729245, -76.6537026407049, -76.6537516647943, -76.6537971940099, -76.6538434346294, -76.6539146264237, -76.65399580977, -76.6540619612216, -76.6541292193139, -76.6541890890885, -76.6542599062699, -76.6543591319011, -76.654492292548, -76.654516440164, -76.6545423521958, -76.6545907769771, -76.654639341531, -76.6547175960245, 
-76.6547482524372, 39.3125476554883, 39.3133549407126, 39.3133171857101, 39.3134903717348, 39.3136559260686, 39.3137915201523, 39.3138848541909, 39.3140143009209, 39.3142133003022, 39.3143997247741, 39.3144323182105, 39.3145300198051, 39.3147093877111, 39.3148513789313, 39.314865876928, 39.3149506728683, 39.315065783532, 39.3152286713426, 39.3152594267729, 39.3157501407977, 39.3157385168036, 39.3157282081521, 39.3157171140164, 39.3156970976358, 39.3156761956611, 39.3156567806697, 39.3156377385814, 
39.315622698983, 39.3155932671491, 39.3155822704875, 39.3155501663736, 39.3155029641913, 39.3154478154858, 39.3154250118459, 39.3154041660532, 39.3153832402611, 39.3153657548581, 39.3153477618252, 39.3153368571886, 39.315325718351, 39.3153257461133, 39.315319746371, 39.3153211426138, 39.3153274456987, 39.3153352177859, 39.3153460152046, 39.315355682969, 39.3153658581381, 39.3154035249893, 39.3154965595624, 39.315621045049, 39.3155693095006, 39.3155100910272, 39.3154466700598, 39.3153798690871, 39.3153103515784, 
39.3144339593369, 39.3129620924542, 39.3129093389147, 39.3128972572192, 39.3128879591605, 39.3128852630422, 39.3128806641603, 39.3128658013381, 39.3128577098254, 39.3128490035475, 39.3128395023182, 39.3128223615058, 39.3128005536415, 39.3127809533953, 39.3127589132707, 39.3127375921675, 39.3127103993227, 39.3126704981683, 39.3126219097069, 39.3126127832373, 39.3126043760428, 39.3125888687817, 39.3125736388333, 39.3125504470928, 39.3125476554883)))"
427,academy for college and career exploration,1300 w 36th street,1300 w 36th st,"list(list(c(-76.6368770635645, -76.6368442405047, -76.636832976973, -76.6366412838684, -76.6358324064769, -76.635787318325, -76.6356805875513, -76.6357750674786, -76.6358592511873, -76.6360207536984, -76.6361977193678, -76.6361369418528, -76.6361342964449, -76.6385875496632, -76.6385901594273, -76.6386839599179, -76.6387006345929, -76.6387211197555, -76.6387800356214, -76.6388054008583, -76.6388307661526, -76.638856127884, -76.638887276936, -76.638918391627, -76.6389750026573, -76.6389980030695, 
-76.6390316118528, -76.6390598820336, -76.6390808471761, -76.63908720537, -76.6389980464575, -76.6378353354618, -76.6369462948928, -76.6368982049368, -76.6368770635645, 39.3314572666218, 39.3313502021907, 39.3313134044282, 39.3313502595579, 39.3315057599522, 39.3313504449283, 39.3310138749335, 39.3309961299312, 39.3309803026469, 39.3309499423651, 39.3309166932376, 39.330725008176, 39.3307167359443, 39.3302556507496, 39.3302638665893, 39.3305595154116, 39.3305715905732, 39.3305864248622, 39.3305753772882, 
39.3306553489395, 39.3307353205832, 39.3308152922083, 39.3308560474398, 39.3308968039624, 39.3309708861256, 39.3310009935117, 39.3310449963675, 39.3310820654287, 39.331109501363, 39.331117758218, 39.3311314583771, 39.331349991742, 39.3315170858634, 39.331526133335, 39.3314572666218)))"
854,career academy,"1500 harlem avenue, baltimore md",2300 maryland ave,"list(list(c(-76.6183658350763, -76.6183076765584, -76.6188404575492, -76.6188982647581, -76.6183658350763, 39.3161960037011, 39.3152997636668, 39.3152790917104, 39.3161762890102, 39.3161960037011)))"
410,mergenthaler vocational-technical high school,3500 hillen road,3500 hillen road,"list(list(c(-76.592002972918, -76.591992365721, -76.5889654569932, -76.5889816043195, -76.5890206395655, -76.5890933696667, -76.5891764938521, -76.5892120335185, -76.5920051160908, -76.592005651767, -76.592003198344, -76.592002972918, 39.3334507888975, 39.3334508083087, 39.3334516281444, 39.3332706218367, 39.3328330234629, 39.3320176677816, 39.3313508580664, 39.3310681979339, 39.3310695520486, 39.3313513781199, 39.333274174542, 39.3334507888975)))"
480,baltimore city college,3220 the alameda,3220 the alameda,"list(list(c(-76.5959235303841, -76.5963585579691, -76.5964320220449, -76.5965110861839, -76.5965857662645, -76.5966553197619, -76.5967189295706, -76.5967442555548, -76.5967768017727, -76.5968131127408, -76.5968528014176, -76.5968953685394, -76.5969404257143, -76.5969874397752, -76.5970358813279, -76.5971466179307, -76.5972503713824, -76.5973532836018, -76.5974538949332, -76.5975641776825, -76.5977560026519, -76.5978492923703, -76.5980068707238, -76.5980825855954, -76.5980964831334, -76.5980789097623, 
-76.5980727825899, -76.5980634399694, -76.5980585493903, -76.5980595834619, -76.5980680991966, -76.5980835979127, -76.5980668999727, -76.5980195207467, -76.5980126526571, -76.5980035468539, -76.5979920231484, -76.5979622211151, -76.5979289345509, -76.5981261809005, -76.5981552066589, -76.5983688127477, -76.5990891304571, -76.6002009737619, -76.5994130949558, -76.5991926752537, -76.5989075995255, -76.5987377523542, -76.5983265000157, -76.5980970947728, -76.597955024764, -76.5978699607065, -76.5978027718852, 
-76.5977660224415, -76.5977486938451, -76.5970164149546, -76.5969947465044, -76.5969811017824, -76.5969052886425, -76.5967884292399, -76.5966155319588, -76.5965201784552, -76.5962395814171, -76.5957899550689, -76.5955319074186, -76.5953420610771, -76.5951618936528, -76.5949433394149, -76.5946783639112, -76.5944849862972, -76.5944581077207, -76.5944509231713, -76.5944434449061, -76.5943476633387, -76.594343293053, -76.5943347768737, -76.5943228063791, -76.5943102850685, -76.5943034945752, -76.5943024343421, 
-76.5943072733034, -76.5943178389733, -76.5943340161465, -76.5943556649089, -76.5943824985882, -76.5944154469493, -76.5959235303841, 39.3244327607538, 39.3246952436801, 39.3246748772338, 39.3246458526189, 39.3246105575664, 39.3245693929705, 39.3245228269438, 39.3244950206573, 39.3244658095451, 39.3244394128859, 39.3244161020534, 39.324396150848, 39.3243797505146, 39.3243670903967, 39.3243583331431, 39.3243479788709, 39.3243406185904, 39.3243386110299, 39.3243555105146, 39.3243814211942, 39.3244396789551, 
39.3244637740913, 39.3243089727447, 39.3242346090216, 39.3242209285388, 39.3242093923619, 39.3242053904843, 39.3241945698353, 39.3241783538951, 39.3241702578236, 39.3241583722843, 39.3241431875631, 39.3241330263348, 39.3241041740903, 39.3240999770953, 39.3241096382106, 39.3241218437952, 39.3241041706847, 39.3240834113939, 39.3238894845345, 39.3238636937054, 39.3236524985893, 39.3241042864743, 39.3248016949469, 39.3256065451555, 39.3258786134384, 39.3262753536735, 39.326517584897, 39.3270907570834, 
39.3274119088089, 39.3276110214216, 39.3277439141536, 39.3278977607897, 39.328038204255, 39.3282388960628, 39.3282374026715, 39.3282373564942, 39.3282369526648, 39.328234688179, 39.3282267373911, 39.3282076663352, 39.3281914434892, 39.3281264267787, 39.327959657756, 39.3278154006955, 39.3276879327169, 39.3275432555365, 39.3273236334227, 39.3269510899578, 39.326601223526, 39.3265501368156, 39.3265361573602, 39.326521872207, 39.3263398994244, 39.3263315654494, 39.3263123736483, 39.3262854540744, 39.3262434593499, 
39.32620071549, 39.3261576343621, 39.3261147394672, 39.3260724406717, 39.3260312590888, 39.3259916061016, 39.3259539206996, 39.3259163941492, 39.3244327607538)))"
341,"reach! partnership school, the",2555 harford road,2555 harford road,"list(list(c(-76.5913875961479, -76.5916513055453, -76.5923377202741, -76.5924590378531, -76.59268889417, -76.5945000720638, -76.5937382149723, -76.5937253889734, -76.5935514732671, -76.5922993482397, -76.5913875961479, 39.3172945241926, 39.3166100642075, 39.316773311775, 39.3168016539098, 39.3168553837198, 39.3172758609747, 39.3179964510303, 39.3180082665559, 39.3181725397326, 39.3178732902796, 39.3172945241926)))"
403,baltimore polytechnic institute,1400 w cold spring lane,4600 falls road,"list(list(c(-76.6456672516906, -76.6455168399712, -76.6454955606924, -76.6446720142937, -76.6450980963384, -76.6436740520738, -76.6431710878527, -76.6427035882056, -76.6421716599355, -76.6420079554386, -76.641262963745, -76.6412344035746, -76.6408868890001, -76.6409168386793, -76.6410850011592, -76.641140269979, -76.6413757403763, -76.6412187219223, -76.6422165237181, -76.6433634986819, -76.6436605239555, -76.6436816766696, -76.6437347688616, -76.6440998315782, -76.6441104247369, -76.6444887704918, 
-76.6451273600471, -76.645159245352, -76.6457787103745, -76.646221903777, -76.646211521266, -76.6455513645779, -76.645112213023, -76.6449700509035, -76.6456583640955, -76.6456036200518, -76.6456672516906, 39.3506343048582, 39.3506732765693, 39.3506787578178, 39.3508920928675, 39.3518790571977, 39.3521402099079, 39.3522324419798, 39.3506767855752, 39.3488295188787, 39.3482609921685, 39.345934391396, 39.3458451995024, 39.3448200501678, 39.3448127561913, 39.3447718133031, 39.3447989697038, 39.3445579221324, 
39.3442489618956, 39.3448426182293, 39.3455250051708, 39.3457017143731, 39.3457142988867, 39.3457458669203, 39.3458416367807, 39.3458444141426, 39.3459432424, 39.3462674338841, 39.3462836195469, 39.3473729137705, 39.3478424339468, 39.3479174351112, 39.348260004351, 39.3484809247068, 39.3490905114499, 39.3504455825107, 39.3504820691987, 39.3506343048582)))"
407,western high school,4600 falls road,4600 falls road,"list(list(c(-76.6456672516906, -76.6455168399712, -76.6454955606924, -76.6446720142937, -76.6450980963384, -76.6436740520738, -76.6431710878527, -76.6427035882056, -76.6421716599355, -76.6420079554386, -76.641262963745, -76.6412344035746, -76.6408868890001, -76.6409168386793, -76.6410850011592, -76.641140269979, -76.6413757403763, -76.6412187219223, -76.6422165237181, -76.6433634986819, -76.6436605239555, -76.6436816766696, -76.6437347688616, -76.6440998315782, -76.6441104247369, -76.6444887704918, 
-76.6451273600471, -76.645159245352, -76.6457787103745, -76.646221903777, -76.646211521266, -76.6455513645779, -76.645112213023, -76.6449700509035, -76.6456583640955, -76.6456036200518, -76.6456672516906, 39.3506343048582, 39.3506732765693, 39.3506787578178, 39.3508920928675, 39.3518790571977, 39.3521402099079, 39.3522324419798, 39.3506767855752, 39.3488295188787, 39.3482609921685, 39.345934391396, 39.3458451995024, 39.3448200501678, 39.3448127561913, 39.3447718133031, 39.3447989697038, 39.3445579221324, 
39.3442489618956, 39.3448426182293, 39.3455250051708, 39.3457017143731, 39.3457142988867, 39.3457458669203, 39.3458416367807, 39.3458444141426, 39.3459432424, 39.3462674338841, 39.3462836195469, 39.3473729137705, 39.3478424339468, 39.3479174351112, 39.348260004351, 39.3484809247068, 39.3490905114499, 39.3504455825107, 39.3504820691987, 39.3506343048582)))"
413,achievement academy at harbor city high school,2201 pinewood avenue,2201 pinewood ave,"list(list(c(-76.567260515924, -76.5677507149003, -76.5680928769571, -76.5683760717335, -76.5686550919597, -76.5689143041856, -76.5689814429537, -76.5691102487648, -76.5691629698802, -76.5691700918698, -76.5717779674344, -76.5721470873692, -76.5721418310062, -76.5721190871014, -76.572120086359, -76.5721197523216, -76.5721257499921, -76.5721302998006, -76.5721546501383, -76.5721658669398, -76.5721849141147, -76.572206751954, -76.5722296288059, -76.5722671567687, -76.5722894600924, -76.5723223220735, 
-76.5723650243683, -76.5723869508611, -76.5724263330012, -76.5724607699321, -76.5715295185027, -76.5714665367024, -76.5713939146932, -76.5713467341901, -76.5713227356778, -76.5712804011791, -76.5712247489667, -76.570584902433, -76.5704947939353, -76.5696544763465, -76.5689807323809, -76.5684465485652, -76.5682056325497, -76.5677946577924, -76.5676744753712, -76.5675493880109, -76.5674207699142, -76.5672900718483, -76.5671587075343, -76.567137832125, -76.5671305254899, -76.5671231452625, -76.5671339783676, 
-76.5671629466845, -76.5672096862736, -76.5672181144679, -76.5672276794658, -76.5672507908837, -76.567260515924, 39.365076976938, 39.3650681822727, 39.3650620539548, 39.365056971941, 39.3650519554634, 39.3650473056947, 39.3650461236102, 39.3650415436096, 39.3650438241955, 39.3649545110299, 39.3650685297132, 39.3650846707551, 39.3651703375153, 39.3654223981562, 39.3655205250992, 39.3655758443145, 39.3656601252433, 39.3657091760361, 39.3659057839197, 39.3659753677906, 39.3660542590182, 39.3661397502058, 
39.3662169263695, 39.3663224886387, 39.3663773953717, 39.3664531529489, 39.3665451720242, 39.3665866250369, 39.3666601825056, 39.366726775127, 39.3669606769087, 39.366976397647, 39.3668077821284, 39.366690461067, 39.3666234113652, 39.3665001506742, 39.3663096050654, 39.3662937619655, 39.3662920609752, 39.3662694136008, 39.3662618127519, 39.3662557899625, 39.3662227831361, 39.36609786487, 39.3660567357993, 39.3660255815294, 39.3660047374342, 39.3659944548338, 39.3659948232654, 39.3659958723799, 39.36572129839, 
39.3655862488606, 39.3654513225912, 39.3653180261763, 39.3651878173573, 39.3651687944103, 39.3651430227696, 39.365094264727, 39.365076976938)))"
419,reginald f. lewis high school,6401 pioneer drive,2201 pinewood ave,"list(list(c(-76.567260515924, -76.5677507149003, -76.5680928769571, -76.5683760717335, -76.5686550919597, -76.5689143041856, -76.5689814429537, -76.5691102487648, -76.5691629698802, -76.5691700918698, -76.5717779674344, -76.5721470873692, -76.5721418310062, -76.5721190871014, -76.572120086359, -76.5721197523216, -76.5721257499921, -76.5721302998006, -76.5721546501383, -76.5721658669398, -76.5721849141147, -76.572206751954, -76.5722296288059, -76.5722671567687, -76.5722894600924, -76.5723223220735, 
-76.5723650243683, -76.5723869508611, -76.5724263330012, -76.5724607699321, -76.5715295185027, -76.5714665367024, -76.5713939146932, -76.5713467341901, -76.5713227356778, -76.5712804011791, -76.5712247489667, -76.570584902433, -76.5704947939353, -76.5696544763465, -76.5689807323809, -76.5684465485652, -76.5682056325497, -76.5677946577924, -76.5676744753712, -76.5675493880109, -76.5674207699142, -76.5672900718483, -76.5671587075343, -76.567137832125, -76.5671305254899, -76.5671231452625, -76.5671339783676, 
-76.5671629466845, -76.5672096862736, -76.5672181144679, -76.5672276794658, -76.5672507908837, -76.567260515924, 39.365076976938, 39.3650681822727, 39.3650620539548, 39.365056971941, 39.3650519554634, 39.3650473056947, 39.3650461236102, 39.3650415436096, 39.3650438241955, 39.3649545110299, 39.3650685297132, 39.3650846707551, 39.3651703375153, 39.3654223981562, 39.3655205250992, 39.3655758443145, 39.3656601252433, 39.3657091760361, 39.3659057839197, 39.3659753677906, 39.3660542590182, 39.3661397502058, 
39.3662169263695, 39.3663224886387, 39.3663773953717, 39.3664531529489, 39.3665451720242, 39.3665866250369, 39.3666601825056, 39.366726775127, 39.3669606769087, 39.366976397647, 39.3668077821284, 39.366690461067, 39.3666234113652, 39.3665001506742, 39.3663096050654, 39.3662937619655, 39.3662920609752, 39.3662694136008, 39.3662618127519, 39.3662557899625, 39.3662227831361, 39.36609786487, 39.3660567357993, 39.3660255815294, 39.3660047374342, 39.3659944548338, 39.3659948232654, 39.3659958723799, 39.36572129839, 
39.3655862488606, 39.3654513225912, 39.3653180261763, 39.3651878173573, 39.3651687944103, 39.3651430227696, 39.365094264727, 39.365076976938)))"
855,success academy,2201 pinewood avenue,2201 pinewood ave,"list(list(c(-76.567260515924, -76.5677507149003, -76.5680928769571, -76.5683760717335, -76.5686550919597, -76.5689143041856, -76.5689814429537, -76.5691102487648, -76.5691629698802, -76.5691700918698, -76.5717779674344, -76.5721470873692, -76.5721418310062, -76.5721190871014, -76.572120086359, -76.5721197523216, -76.5721257499921, -76.5721302998006, -76.5721546501383, -76.5721658669398, -76.5721849141147, -76.572206751954, -76.5722296288059, -76.5722671567687, -76.5722894600924, -76.5723223220735, 
-76.5723650243683, -76.5723869508611, -76.5724263330012, -76.5724607699321, -76.5715295185027, -76.5714665367024, -76.5713939146932, -76.5713467341901, -76.5713227356778, -76.5712804011791, -76.5712247489667, -76.570584902433, -76.5704947939353, -76.5696544763465, -76.5689807323809, -76.5684465485652, -76.5682056325497, -76.5677946577924, -76.5676744753712, -76.5675493880109, -76.5674207699142, -76.5672900718483, -76.5671587075343, -76.567137832125, -76.5671305254899, -76.5671231452625, -76.5671339783676, 
-76.5671629466845, -76.5672096862736, -76.5672181144679, -76.5672276794658, -76.5672507908837, -76.567260515924, 39.365076976938, 39.3650681822727, 39.3650620539548, 39.365056971941, 39.3650519554634, 39.3650473056947, 39.3650461236102, 39.3650415436096, 39.3650438241955, 39.3649545110299, 39.3650685297132, 39.3650846707551, 39.3651703375153, 39.3654223981562, 39.3655205250992, 39.3655758443145, 39.3656601252433, 39.3657091760361, 39.3659057839197, 39.3659753677906, 39.3660542590182, 39.3661397502058, 
39.3662169263695, 39.3663224886387, 39.3663773953717, 39.3664531529489, 39.3665451720242, 39.3665866250369, 39.3666601825056, 39.366726775127, 39.3669606769087, 39.366976397647, 39.3668077821284, 39.366690461067, 39.3666234113652, 39.3665001506742, 39.3663096050654, 39.3662937619655, 39.3662920609752, 39.3662694136008, 39.3662618127519, 39.3662557899625, 39.3662227831361, 39.36609786487, 39.3660567357993, 39.3660255815294, 39.3660047374342, 39.3659944548338, 39.3659948232654, 39.3659958723799, 39.36572129839, 
39.3655862488606, 39.3654513225912, 39.3653180261763, 39.3651878173573, 39.3651687944103, 39.3651430227696, 39.365094264727, 39.365076976938)))"
376,city neighbors high school,5609 sefton avenue,5609 sefton ave,"list(list(c(-76.5555799779948, -76.5555861678535, -76.5559833342645, -76.555844300639, -76.5556960020414, -76.555555797502, -76.5554155560762, -76.5552753512228, -76.5557577269565, -76.5552289278902, -76.5552005169371, -76.5549868309492, -76.5547447309023, -76.5542087546242, -76.5533383513597, -76.5549879606471, -76.5555799779948, 39.3490992382708, 39.3491047550879, 39.3494561645545, 39.34953970646, 39.3496287867334, 39.3497130098456, 39.349797287472, 39.3498814540192, 39.3502972687984, 39.3506578647862, 
39.3506772232405, 39.3508229137822, 39.3509879889717, 39.3506670699593, 39.3501459416545, 39.3493756664333, 39.3490992382708)))"
307,claremont school,100 kane street,100 kane st,"list(list(c(-76.5364887718063, -76.5365073585238, -76.5401388077129, -76.5401674367753, -76.5402244953212, -76.540224936399, -76.5399458897653, -76.5371761677151, -76.5363757342891, -76.5356967897784, -76.5348178952256, -76.5342364442472, -76.5342128398569, -76.5339259054576, -76.5335034058531, -76.5334523635293, -76.5332376973709, -76.5332231171087, -76.533209497815, -76.5331971555315, -76.5331860931641, -76.5331764491046, -76.5331683640991, -76.533161871252, -76.5331571181846, -76.5331540947683, 
-76.5331528744524, -76.5331534581382, -76.5331558409392, -76.5331599551973, -76.5331658325773, -76.5331733307038, -76.533182416643, -76.5331929806015, -76.5332262860082, -76.533400541946, -76.5337691414631, -76.5340975366001, -76.5341108814686, -76.5357382572808, -76.5363782295849, -76.5364163847157, -76.5364887718063, 39.2918493979521, 39.2918492787015, 39.2918265683253, 39.2926750217567, 39.2943659149385, 39.2943796434303, 39.2943765479037, 39.2943458459479, 39.2943214397928, 39.2943007752511, 
39.2950876820379, 39.2956083463408, 39.2956032287503, 39.2955416058873, 39.2954672284853, 39.295459502437, 39.2954283946617, 39.2954213348884, 39.2954131262483, 39.2954038529347, 39.295393623199, 39.2953825753514, 39.2953707647739, 39.295358384181, 39.295345543805, 39.2953324080738, 39.2953190869252, 39.2953057181222, 39.2952924942279, 39.2952795246188, 39.2952669457745, 39.2952549497114, 39.2952435925268, 39.295233063555, 39.2952083766512, 39.2950867551267, 39.294802875999, 39.2944905842879, 39.2944763861085, 
39.2926722649211, 39.2919717141625, 39.2919292266731, 39.2918493979521)))"
405,patterson high school,100 kane street,100 kane st,"list(list(c(-76.5364887718063, -76.5365073585238, -76.5401388077129, -76.5401674367753, -76.5402244953212, -76.540224936399, -76.5399458897653, -76.5371761677151, -76.5363757342891, -76.5356967897784, -76.5348178952256, -76.5342364442472, -76.5342128398569, -76.5339259054576, -76.5335034058531, -76.5334523635293, -76.5332376973709, -76.5332231171087, -76.533209497815, -76.5331971555315, -76.5331860931641, -76.5331764491046, -76.5331683640991, -76.533161871252, -76.5331571181846, -76.5331540947683, 
-76.5331528744524, -76.5331534581382, -76.5331558409392, -76.5331599551973, -76.5331658325773, -76.5331733307038, -76.533182416643, -76.5331929806015, -76.5332262860082, -76.533400541946, -76.5337691414631, -76.5340975366001, -76.5341108814686, -76.5357382572808, -76.5363782295849, -76.5364163847157, -76.5364887718063, 39.2918493979521, 39.2918492787015, 39.2918265683253, 39.2926750217567, 39.2943659149385, 39.2943796434303, 39.2943765479037, 39.2943458459479, 39.2943214397928, 39.2943007752511, 
39.2950876820379, 39.2956083463408, 39.2956032287503, 39.2955416058873, 39.2954672284853, 39.295459502437, 39.2954283946617, 39.2954213348884, 39.2954131262483, 39.2954038529347, 39.295393623199, 39.2953825753514, 39.2953707647739, 39.295358384181, 39.295345543805, 39.2953324080738, 39.2953190869252, 39.2953057181222, 39.2952924942279, 39.2952795246188, 39.2952669457745, 39.2952549497114, 39.2952435925268, 39.295233063555, 39.2952083766512, 39.2950867551267, 39.294802875999, 39.2944905842879, 39.2944763861085, 
39.2926722649211, 39.2919717141625, 39.2919292266731, 39.2918493979521)))"
239,benjamin franklin high school at masonville cove,1201 cambria street,1201 cambria st,"list(list(c(-76.5928917199842, -76.5933496105949, -76.5936500613381, -76.5938692353375, -76.5940827191778, -76.5942881806306, -76.59448983795, -76.5946793022158, -76.5948545882513, -76.5950088173699, -76.5953710822956, -76.5953886672227, -76.5953818111051, -76.5947828189964, -76.5943460570843, -76.5926956033453, -76.5928917199842, 39.2322937066033, 39.2314095994867, 39.2313927942305, 39.2313591784093, 39.2313078597919, 39.2312395472714, 39.2311571358085, 39.2310587844651, 39.2309455309062, 39.2308229786082, 
39.23106529005, 39.2310770196545, 39.2310907229988, 39.2322939905954, 39.2331519816555, 39.2326523665314, 39.2322937066033)))"
422,new era academy,2700 seamon avenue,2501 seabury road,"list(list(c(-76.6203226578256, -76.6202255478708, -76.6201997872849, -76.6201800997092, -76.6201560789438, -76.6201149535024, -76.6200498153012, -76.6199961183753, -76.6199317231816, -76.6198741143493, -76.6198030601144, -76.6197377745616, -76.6196599880587, -76.6196015250128, -76.6195378204373, -76.6194870779042, -76.6194423457198, -76.6193755651949, -76.6185637888631, -76.6193684352006, -76.6197932946647, -76.620315040174, -76.6203221184795, -76.6219855169928, -76.6227124497679, -76.6228438399983, 
-76.6229150898413, -76.6230108749018, -76.6230800357233, -76.6231213464653, -76.6231420789363, -76.6231314321358, -76.6227662341958, -76.6226625763317, -76.6226543048033, -76.622358819392, -76.620829288381, -76.6207008479707, -76.6205757890697, -76.6204492302764, -76.6203297186132, -76.6203226578256, 39.2536612512397, 39.2536477037153, 39.2536442424411, 39.2536411592657, 39.2536359197488, 39.2536263964761, 39.253610480984, 39.2535945757763, 39.2535719362436, 39.2535478089007, 39.2535154004621, 39.2534807868105, 
39.2534333939755, 39.2533905662213, 39.253337975582, 39.2532846846934, 39.2532303139877, 39.2531387536978, 39.2519687652392, 39.2516234882781, 39.2514410722125, 39.2512170535196, 39.2512140020934, 39.2504943508705, 39.251623079274, 39.2518368029288, 39.251952125304, 39.2521480532165, 39.2523507878279, 39.2525579074079, 39.252896390301, 39.2531124858819, 39.2531500801236, 39.2531663584571, 39.2531676771503, 39.2532313017963, 39.2536169269234, 39.2536444353369, 39.2536603390576, 39.2536659422896, 39.2536615200728, 
39.2536612512397)))"
406,forest park high school,3701 eldorado avenue,3701 eldorado ave,"list(list(c(-76.688108295777, -76.6881081202408, -76.6880965705225, -76.6880856368606, -76.6880831561872, -76.6880598601476, -76.6880583163004, -76.6880347954138, -76.6886450133901, -76.6903284887634, -76.6907434035708, -76.6906009090372, -76.6903294926926, -76.6896105263868, -76.688870766816, -76.688108295777, 39.3330816242389, 39.3330733864619, 39.3326693044259, 39.3322856766871, 39.3321990785098, 39.3313831008387, 39.3313279545196, 39.330503149724, 39.3304998533834, 39.33093704361, 39.3310447979542, 
39.3313262726996, 39.3318645777541, 39.3332873105647, 39.3330538288408, 39.3330816242389)))"
